ID,year,month,day,name,route_id,Nombre Ref 1,Link Ref 1,Nombre Ref 2,Link Ref 2,Nombre Ref 3,Link Ref 3,Nombre Ref 4,Link Ref 4
212,1959,3,3,Primera Absoluta,390,,,,,,,,
213,1959,3,22,Tercera Absoluta,584,,,,,,,,
214,1959,3,28,Primera por Pared SO,778,,,,,,,,
215,1959,3,28,Primera Absoluta,760,,,,,,,,
216,1959,11,12,Primera Absoluta,586,,,,,,,,
217,1959,12,9,Primera Absoluta,248,,,,,,,,
218,1960,,,Primera desde el Glaciar Olivares Gamma.,569,,,,,,,,
219,1960,,,Primera Absoluta,370,,,,,,,,
220,1960,1,,Segunda Absoluta,582,,,,,,,,
221,1960,1,19,Primera Absoluta,645,,,,,,,,
222,1960,1,7,Primera Absoluta,600,,,,,,,,
223,1960,2,13,Primera Absoluta,475,,,,,,,,
224,1960,2,14,Segunda Absoluta,353,,,,,,,,
225,1960,3,6,Primera Absoluta,84,,,,,,,,
226,1960,3,11,Primera Absoluta,184,,,,,,,,
227,1960,3,11,Primera Absoluta,83,,,,,,,,
228,1960,3,26,Segunda Absoluta,788,,,,,,,,
229,1960,9,20,Primera Absoluta,844,,,,,,,,
230,1960,10,11,Primera Absoluta,318,,,,,,,,
231,1960,11,,Primera por el Filo SO,582,,,,,,,,
232,1960,11,20,Primera Absoluta,597,,,,,,,,
233,1960,11,28,Primera Absoluta,593,,,,,,,,
234,1960,12,8,Primera Absoluta,728,,,,,,,,
235,1960,12,10,Primera Absoluta,28,,,,,,,,
236,1961,,,Primera Absoluta.,844,,,,,,,,
237,1961,,,Primera Absoluta.,165,,,,,,,,
238,1961,,,Primera Absoluta.,591,,,,,,,,
239,1961,1,1,Tercera Ascensión.,745,,,,,,,,
240,1961,1,11,Primera Absoluta.,726,,,,,,,,
241,1961,1,19,Tercera Ascensión. Segunda por Argentina.,572,,,,,,,,
242,1961,2,4,Primera Absoluta.,551,,,,,,,,
243,1961,2,10,Primera por el Ventisquero Colgante Norte.,560,,,,,,,,
244,1961,2,11,Primera Absoluta.,285,,,,,,,,
245,1961,2,15,Primera Absoluta.,237,,,,,,,,
246,1961,2,15,Primera Absoluta.,238,,,,,,,,
247,1961,4,3,Tercera Absoluta.,673,,,,,,,,
248,1961,3,4,Primera Escalada de la Pared Sur.,433,,,,,,,,
249,1961,4,,Primera Absoluta.,397,,,,,,,,
250,1961,12,31,Primera Absoluta.,283,,,,,,,,
251,1962,,,Primera Absoluta.,360,,,,,,,,
252,1962,,,Primer por el Canalón de los Españoles.,341,,,,,,,,
253,1962,,,Primera por la Cara Oeste.,299,,,,,,,,
254,1962,1,2,Primera Absoluta.,374,,,,,,,,
255,1962,1,22,Primera Absoluta Cumbre Sur.,239,,,,,,,,
256,1962,2,23,Primera Absoluta.,361,,,,,,,,
257,1962,2,23,Primera Absoluta.,40,,,,,,,,
258,1962,2,27,Primera Absoluta.,683,,,,,,,,
259,1962,3,12,Tercera Ascensión y Primera por el Ventisquero.,753,,,,,,,,
260,1962,4,23,Primera por la Pared Sur.,316,,,,,,,,
261,1962,12,7,Primera Absoluta (existe un registro de 1955 ¿?).,720,,,,,,,,
262,1963,,,Primera Ascensión por la Canaleta NE.,342,,,,,,,,
263,1963,,,Primer Ascenso desde el oeste (Estero La Paloma).,412,,,,,,,,
264,1963,,,Variante Ruta Normal.,419,,,,,,,,
265,1963,,,Primer Ascenso desde el Valle del Mesoncito.,387,,,,,,,,
266,1963,4,,Segunda Ascensión. Primera por filo sur,763,,,,,,,,
267,1964,,,Primer Ascenso por la Cara Este. Ruta Berenguer.,421,,,,,,,,
268,1964,,,Primer Ascenso por Placetas Altas.,438,,,,,,,,
269,1964,,,Primer Ascenso por la Canaleta del Rincón.,437,,,,,,,,
270,1964,,,Primer Ascenso por el Glaciar Cortaderas.,385,,,,,,,,
271,1964,1,18,Primera Absoluta.,118,,,,,,,,
